ALBUM,CONS,EXCL,LINE,MOJO,PASTE,PFORK,QTUS,RS,RT,SGUM,TREBLE,UNCUT,WIRE,CMPLX,LTW,NME,BLBRD,CRACK,DORK,DBLJ,ERMLK,FADER,FLOOD,KRNG,MONDO,NORIP,POPMT,SLANT,NT,,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Blondshell - If You Asked For a Picture,,,,,,,,,,,,,,,,,,,24,,,,19,,,,,,,,,,,,,,,,,,,,,,,21.50,10.75,71.31034483,2,0,0
Purelink - Faith,,,,,,,,,,29,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.50,10.75,71.31034483,2,0,0
Chat Pile & Hayden Pedigo - In The Earth Again,,,,,,,,,,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50,11.25,71.37931034,2,0,0
Cleo Reed - Cuntry,,,,,,46,,,,48,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,40.00,13.33333333,71.37931034,3,0,0
Die Spitz - Something to Consume,44,,32,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,40.00,13.33333333,71.37931034,3,0,0
Yeat - Dangerous Summer,,,,,,,,,,,,,,21,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50,11.25,71.37931034,2,0,0
Milkweed - Remscéla,,,,,,,16,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,11.5,71.4137931,2,0,0
The Weeknd - Hurry Up Tomorrow,,,,,,,,,,,,,,19,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,23.00,11.5,71.4137931,2,0,0
France - Destino Scifosi,,,,,,,9,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.50,11.75,71.44827586,2,1,0
Squid - Cowards,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,22,,,,,,,,,,,,,,,,,23.50,11.75,71.44827586,2,0,0
Scowl - Are We All Angels,,,,,,,,,,,,,,,,,,,35,,,,,13,,,,,,,,,,,,,,,,,,,,,,24.00,12,71.48275862,2,0,0
Jim Ghedi - Wasteland,,,,,,,28,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50,12.25,71.51724138,2,0,0
Men I Trust - Equus Caballus,,18,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50,12.25,71.51724138,2,0,0
Mark William Lewis - Mark William Lewis,,,,,,,,,,,,,,,,,,42,,,8,,,,,,,,,,,,,,,,,,,,,,,,,25.00,12.5,71.55172414,2,1,0
They Are Gutting a Body of Water - Lotto,,43,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,71.5862069,2,1,0
Florry - Sounds Like...,,,,,15,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,26.00,13,71.62068966,2,0,0
Marie Davidson - City of Clowns,,,,,,,36,,50,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,43.00,14.33333333,71.68965517,3,0,0
Sprints - All That Is Over,,,,,,,,,48,,,,,,,,,,38,,,,,43,,,,,,,,,,,,,,,,,,,,,,43.00,14.33333333,71.68965517,3,0,0
Billy Nomates - Metalhorse,,,,45,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,14,71.75862069,2,0,0
Fust - Big Ugly,,,,,13,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,28.00,14,71.75862069,2,0,0
Car Seat Headrest - The Scholars,,,,,,,,,,,,,,,,,,,,,,,,,7,50,,,,,,,,,,,,,,,,,,,,28.50,14.25,71.79310345,2,1,0
"Quadeca - Vanisher, Horizon Scraper",,,,,,,,,29,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,28.50,14.25,71.79310345,2,0,0
Sumac & Moor Mother - The Film,,37,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.50,14.25,71.79310345,2,0,0
"Rose Gray - Louder, Please",,,,,,,,,,,,,,,,47,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,14.5,71.82758621,2,0,0
Sharp Pins - Radio DDR,,,,,,50,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,29.50,14.75,71.86206897,2,1,0
Van Morrison - Remembering Now,,,,25,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.50,14.75,71.86206897,2,0,0
Karol G - Tropicoqueta,,,,,,,,34,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,71.89655172,2,0,0
Chance The Rapper - Star Line,,,,,,,,,,,,,,22,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,30.50,15.25,71.93103448,2,0,0
Rocket - R is for Rocket,39,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,31.00,15.5,71.96551724,2,0,0
The Lemonheads - Love Chant,,,,48,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,71.96551724,2,0,0
Barker - Stochastic Drift,,,,,,14,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,72,2,0,0
DJ K - Radio Libertadora!,,,,,,,26,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,72,2,0,0
Ghais Guevara - Goyard Ibn Said,,,,,,,,,,,,,,,,,,,,,,,16,,,48,,,,,,,,,,,,,,,,,,,,32.00,16,72.03448276,2,0,0
Tame Impala - Deadbeat,,,,,,,,,,,,,,,,,22,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,16,72.03448276,2,0,0
"Rainy Miller - Joseph, What Have You Done?",,,,,,,37,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.50,16.25,72.06896552,2,0,0
Jensen McRae - I Don't Know How But They Found Me!,,,,,,,,,20,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,33.00,16.5,72.10344828,2,0,0
Lola Young - I'm Only F**king Myself,,,,,,,,49,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,72.13793103,2,0,0
Shallowater - God's Gonna Give You a Million Dollars,17,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,72.13793103,2,0,0
2hollis - Star,,,,,,,,,,27,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,72.17241379,2,0,0
Midlake - A Bridge Too Far,,,,23,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,72.17241379,2,0,0
Summer Walker - Finally Over It,,,,,,,,,,,,,,36,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,72.17241379,2,0,0
Yungblud - Idols,,,,,,,,,,,,,,,44,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,34.00,17,72.17241379,2,0,0
Masma Dream World - Please Come To Me,,,,,,,,,,,,,20,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50,17.25,72.20689655,2,0,0
Yung Lean - Jonatan,,,29,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,35.00,17.5,72.24137931,2,0,0
Messa - The Spin,,,,,,,,,,49,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,72.27586207,2,0,0
Julien Baker & Torres - Send a Prayer My Way,,,,,,,,,,,,,,,,,,,,,,,48,,,,,24,,,,,,,,,,,,,,,,,,36.00,18,72.31034483,2,0,0
Sparks - Mad!,,,,,,,,,45,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.34482759,2,0,0
Wale - Everything is a Lot.,,,,,,,,,,,,,,35,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.34482759,2,0,0
"Larry June, 2 Chainz & The Alchemist - Life is Beautiful",,,,,,,,,,,,,,32,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,18.5,72.37931034,2,0,0
Mobb Deep - Infinite,,,,,,,,,,,,,,,,,,,,45,,,,,,29,,,,,,,,,,,,,,,,,,,,37.00,18.5,72.37931034,2,0,0
Mark Ernestus' Ndagga Rhythm Force - Khadim,,,,,,,,,,,,,43,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,72.4137931,2,0,0
Parcels - Loved,43,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,37.50,18.75,72.4137931,2,0,0
Dead Pioneers - Po$t American,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1,72.44827586,1,1,1
Eric Church - Evangeline vs. The Machine,,,,,,,,26,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,19,72.44827586,2,0,0
Foxwarren - 2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.00,1,72.44827586,1,1,1
Ribbon Skirt - Bite Down,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1,72.44827586,1,1,1
SML - How You Been,,,,,30,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,19,72.44827586,2,0,0
Bonnie 'Prince' Billy - The Purple Bird,,,,35,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.50,19.25,72.48275862,2,0,0
David Byrne & The Ghost Train Orchestra - Who is the Sky?,,,,27,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,38.50,19.25,72.48275862,2,0,0
Earth Ball - Outside Over There,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,72.48275862,1,1,0
Ghost - Skeletá,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3.00,3,72.51724138,1,1,0
Gordi - Like Plasticine,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,72.51724138,1,1,0
Sunflower Bean - Mortal Primetime,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3.00,3,72.51724138,1,1,0
Zara Larsson - Midnight Sun,,,34,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,19.5,72.51724138,2,0,0
Constant Follower - The Smile You Send Out Returns to You,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4.00,4,72.55172414,1,1,0
Friendship - Caveman Wake Up,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.5862069,1,1,0
Malevolence - Where Only The Truth is Spoken,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.5862069,1,1,0
Prettifun - FunHouse Deluxe,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.5862069,1,1,0
Creeper - Sanguivore II: Mistress of Death,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.62068966,1,1,0
Decius - Decius Vol. II (Splendor & Obedience),,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.62068966,1,1,0
Floodlights - Underneath,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.62068966,1,1,0
"Gigi Perez - At The Beach, In Every Life",,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6.00,6,72.62068966,1,1,0
YoungBoy Never Broke Again - MASA,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.62068966,1,1,0
Kronos Quartet & Mary Kouyoumdjian - Witness,,,,,,,,,,,,,,,40,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,41.00,20.5,72.65517241,2,0,0
Marlon Williams - Te Whare Tiwekaweka,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,72.65517241,1,1,0
Paul St. Hilaire - w/ The Producers,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,72.65517241,1,1,0
TV Face - Wolf Rents Bark,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,72.65517241,1,1,0
[slab] - Taut,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.68965517,1,1,0
Sleep Token - Even in Aracadia,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.68965517,1,1,0
Vanessa Rossetto - Pictures of the Warm South,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.68965517,1,1,0
Adrian Sherwood - The Collapse of Everything,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.72413793,1,1,0
Haai - Humanise,,,,,,,,,38,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,21,72.72413793,2,0,0
Jasmine.4.t - You Are The Morning,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.72413793,1,1,0
Kaytranada - Ain't No Damn Way,,47,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,21,72.72413793,2,0,0
Twenty One Pilots - Breach,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.72413793,1,1,0
Brìghde Chaimbeul - Sunwise,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Bumpy - Kanana,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Cloakroom - Last Leg of the Human Table,,,,,,,,,,,39,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,42.50,21.25,72.75862069,2,0,0
Djo - The Crux,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Erotic Secrets of Pompeii - Pitchfork Libra,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Jerkin Fendrix - Once Upon a Time...in Shropshire,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Metro Boomin - Metro Boomin Presents: A Futuristic Summa,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Slash Need - Sit & Grin,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.75862069,1,1,0
Elijah Jamal Asani - As Long As I Long to Memorise Your Sky,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.79310345,1,0,0
G Herbo - Lil Herb,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.79310345,1,0,0
Goldlink - Enoch,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.79310345,1,0,0
Pertubator - Age of Aquarius,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.79310345,1,0,0
Yeule - Evangelic Girl is a Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11.00,11,72.79310345,1,0,0
Curtis Harding - Departures & Arrivals: Adventures of Captain Curt,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12.00,12,72.82758621,1,0,0
House of All - House of All Souls,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.82758621,1,0,0
Neton Vega - Mi Vida Mi Muerte,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.82758621,1,0,0
Audrey Hobert - Who's The Clown?,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
Liz Stringer - The Second High,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
Mariah the Scientist - Hearts Sold Separately,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
Mourning [A] Blkstar - Flowers for the Living,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
The Belair Lip Bombs - Again,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
William Tyler - Time Indefinite,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
Your Heterosexual Violence - Some People Have Too Much To Say,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.86206897,1,0,0
Armand Hammer & The Alchemist - Mercy,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.89655172,1,0,0
Dale Cornish - Altruism,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.89655172,1,0,0
Dayseeker - Creature in the Black Night,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.89655172,1,0,0
Duendita - A Strong Desire to Survive,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.89655172,1,0,0
"Oren Ambarchi, Johan Berthling & Andreas Werliin - Ghosted III",,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.89655172,1,0,0
PartyNextDoor & Drake - $ome $exy $ongs 4 U,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.89655172,1,0,0
Biffy Clyro - Futique,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
"Courting - Lust for Life, Or: How to Thread the Needle...",,,,,,,,,,,,,,,,,,,,,,,,,,49,41,,,,,,,,,,,,,,,,,,,45.00,22.5,72.93103448,2,0,0
Feeo - Goodness,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
Horse Lords & Arnold Dreyblatt - FRKWYS Vol. 18: Extended Field,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
Modern Nature - The Heat Warps,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
Purity Ring - Purity Ring,,,,,,,,,,,,,,,,,,,,,43,,47,,,,,,,,,,,,,,,,,,,,,,,45.00,22.5,72.93103448,2,0,0
Sorry - Cosplay,,,,,,,,,,47,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,22.5,72.93103448,2,0,0
Spill Tab - Angie,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
SZA - SOS Deluxe: LANA,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
Theodora - Mega Bbl,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.93103448,1,0,0
Abhorrent Expanse - Enter the Misanthropocene,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
"Architects - The Sky, The Earth & All Between",,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
Central Cee - Can't Rush Greatness,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
Eli Winter - A Trick of the Light,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
HotWax - Hot Shock,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
Press Club - To All The Ones That I Love,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
Will Stratton - Points of Origin,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,16.00,16,72.96551724,1,0,0
A Day To Remember - Big Ole Album Vol. 1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Fuerza Regida - 111xpantia,,,,,,,,50,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,23,73,2,0,0
Inhaler - Open Wide,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Läuten Der Seele - Unterhaltungen mit Larven und Überresten,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Obongjayar - Paradise Now,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Ouri - Daisy Cutter,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Public Enemy - Black Sky Over the Projects: Apartment 2025,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Rafael Toral - Traveling Light,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73,1,0,0
Carter Faith - Cherry Valley,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.03448276,1,0,0
Hilary Woods - Night Criú,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,18.00,18,73.03448276,1,0,0
Melvin Gibbs - Amasia: Anamibia Sessions 2,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.03448276,1,0,0
Placement - Insect,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.03448276,1,0,0
Sleep Theory - Afterglow,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.03448276,1,0,0
Circuit des Yeux - Halo On The Inside,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Ellen Fullman & The Living Earth Show - Elemental View,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Hot Milk - Corporation P.O.P.,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
L.A. Witch - Doggod,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Mark Pritchard & Thom Yorke - Tall Tales,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Merpire - Milk Pool,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Nadeem Din-Gabisi - Offshore,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Say She She - Cut & Rewind,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.06896552,1,0,0
Givēon - Beloved,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.10344828,1,0,0
Laufey - A Matter of Time,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,20.00,20,73.10344828,1,0,0
Matmos - Metallic Life Review,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.10344828,1,0,0
Nova Twins - Parasites & Butterflies,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.10344828,1,0,0
Upchuck - I'm Nice Now,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.10344828,1,0,0
Cerys Hafana - Angel,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Feid - Ferxxo Vol X: Sagrado,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Lorna Shore - I Feel The Everblack Festering Within Me,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Marshall Allen - New Dawn,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Miley Cyrus - Something Beautiful,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Skeleten - Mentalized,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
The Cords - The Cords,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Time Cow - Scaring 1100 Chickens to Death,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.13793103,1,0,0
Brutalismus 3000 - Goodbye Salò The Remixes,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.17241379,1,0,0
Conjurer - Unself,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.17241379,1,0,0
Damon Locks - List of Demands,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.17241379,1,0,0
Eddie Chacon - Lay Low,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.17241379,1,0,0
