ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
The Bug vs. Earth - Concrete Desert,171,electronic,,,,,,30,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,27.00,13.5,71.44444444,2,0
The New Pornographers - Whiteout Conditions,85,indie pop,,44,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.50,13.75,71.48148148,2,0
2 Chainz - Pretty Girls Like Trap Music,261,hip hop,,,,,,,,,,,25,,,,,,,,,,,,,,,30,,,,,,,,,,,27.50,13.75,71.48148148,2,0
Alessandro Cortini - AVANTI,307,ambient,,,,,,,,,,,,,15,,,,,40,,,,,,,,,,,,,,,,,,,27.50,13.75,71.48148148,2,0
Bedouine - Bedouine,17,singer-songwriter,17,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,14,71.51851852,2,0
Methyl Ethel - Everything is Forgotten,154,psychedelic pop,,,,,28,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,14,71.51851852,2,0
Trio Da Kali & Kronos Quartet - Ladilikan,237,classical,,,,,,,,,43,,,,,,,,,46,,,,42,,,,,,,,,,,,,,,43.67,14.55555556,71.51851852,3,0
Jaimie Branch - Fly or Die,424,jazz,,,,,,,,,,,,,,,,,,,9,,,47,,,,,,,,,,,,,,,28.00,14,71.51851852,2,1
Robert Plant - Carry Fire,75,folk rock,,32,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.50,14.25,71.55555556,2,0
Here Lies Man - Here Lies Man,10,afrobeat,10,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,29.00,14.5,71.59259259,2,1
Thurston Moore - Rock N Roll Consciousness,25,alternative rock,25,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,29.00,14.5,71.59259259,2,0
Pile - A Hairshirt of Purpose,476,indie rock,,,,,,,,,,,,,,,,,,,,,,,44,,,15,,,,,,,,,,,29.50,14.75,71.62962963,2,0
Ghostpoet - Dark Days + Canapes,118,hip hop,,,47,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,71.66666667,2,0
Gnod - Just Say No to the Psycho Right-Wing Capitalist...,348,noise rock,,,,,,,,,,,,,,,17,,,,43,,,,,,,,,,,,,,,,,,30.00,15,71.66666667,2,0
Paul Weller - A Kind Revolution,101,rock,,,24,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50,15.25,71.7037037,2,0
Mogwai - Every Country's Sun,181,post-rock,,,,,,46,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,71.74074074,2,0
Omni - Multi-Task,140,post-punk,,,,41,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,71.77777778,2,0
Nicole Mitchell - Mandorla Awakening II: Emerging Worlds,357,avant-garde jazz,,,,,,,,,,,,,,,28,,,,35,,,,,,,,,,,,,,,,,,31.50,15.75,71.77777778,2,0
Pigs Pigs Pigs Pigs Pigs Pigs Pigs - Feed The Rats,293,psychedelic rock,,,,,,,,,,,,49,,,15,,,,,,,,,,,,,,,,,,,,,,32.00,16,71.81481481,2,0
Johnny Jewel - Windswept,200,ambient,,,,,,,44,50,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,47.33,15.77777778,71.92592593,3,0
Blanck Mass - World Eater,245,experimental,,,,,,,,,,41,,,,,,,,,,26,,,,,,,,,,,,,,,,,33.50,16.75,71.92592593,2,0
Mac DeMarco - This Old Dog,30,singer-songwriter,30,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,34.00,17,71.96296296,2,0
Kasabian - For Crying Out Loud,108,alternative dance,,,35,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,71.96296296,2,0
William Basinski - A Shadow In Time,206,ambient,,,,,,,50,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,71.96296296,2,0
Japandroids - Near to the Wild Heart of Life,398,indie rock,,,,,,,,,,,,,,,,,21,,,,,,47,,,,,,,,,,,,,,34.00,17,71.96296296,2,0
Bonobo - Migration,242,downtempo,,,,,,,,,,19,,,,,,,50,,,,,,,,,,,,,,,,,,,,34.50,17.25,72,2,0
Jens Lekman - Life Will See You Now,244,indie pop,,,,,,,,,,30,,,,,,,,,,39,,,,,,,,,,,,,,,,,34.50,17.25,72,2,0
John Maus - Screen Memories,287,hypnagogic pop,,,,,,,,,,,,50,,,,,,,46,,,,,,,,49,,,,,,,,,,48.33,16.11111111,72.03703704,3,0
Benjamin Booker - Witness,131,indie rock,,,,24,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,72.07407407,2,0
Caterina Barbieri - Patterns of Consciousness,441,electronic,,,,,,,,,,,,,,,,,,,36,,,,,,,,35,,,,,,,,,,35.50,17.75,72.07407407,2,0
Ride - Weather Diaries,196,shoegaze,,,,,,,35,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,18,72.11111111,2,0
G Perico - All Blue,262,hip hop,,,,,,,,,,,27,,,,,,,,,,,,,,,,45,,,,,,,,,,36.00,18,72.11111111,2,0
Brian Eno - Reflection,42,ambient,42,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.14814815,2,0
Oneohtrix Point Never - Good Time,225,electronic,,,,,,,,49,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.14814815,2,0
Blue Hawaii - Tenderness,318,indietronica,,,,,,,,,,,,,32,,,,,,,,,,,42,,,,,,,,,,,,,37.00,18.5,72.18518519,2,0
Power Trip - Nightmare Logic,221,thrash metal,,,,,,,,39,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,72.22222222,2,0
Yaeji - EP2,298,electronic,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1.00,1,72.25925926,1,1
Oso Oso - The Yunahon Mixtape,506,emo,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1.00,1,72.25925926,1,1
Roc Marciano - Rosebudd's Revenge,264,hip hop,,,,,,,,,,,29,,,,,48,,,,,,,,,,,,,,,,,,,,,38.50,19.25,72.2962963,2,0
Kara-Lis Coverdale - Grafts,320,ambient,,,,,,,,,,,,,37,,,,,,,,,,,,40,,,,,,,,,,,,38.50,19.25,72.2962963,2,0
Zimpel/Ziolek - Zimpel/Ziolek,339,avant-garde jazz,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2.00,2,72.2962963,1,1
U2 - Songs of Experience,52,rock,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,72.33333333,1,1
EMA - Exile In The Outer Ring,184,noise rock,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,72.33333333,1,1
TOPS - Sugar at the Gate,299,indie pop,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,72.33333333,1,1
A Tribe Called Quest - We Got It From Here...,164,hip hop,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,72.37037037,1,1
Les Amazones d'Afrique - Republique Amazone,402,world,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4.00,4,72.37037037,1,1
Colter Wall - Colter Wall,5,americana,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.40740741,1,1
Noveller - A Pink Sunset For No One,185,ambient,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.40740741,1,1
Octo Octa - Where Are We Going?,290,deep house,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.40740741,1,1
Tom Hang - To Be Held in a Non Position,414,ambient,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5.00,5,72.40740741,1,1
Lee Gamble - Mnestic Pressure,443,IDM,,,,,,,,,,,,,,,,,,,38,,,,,,,,42,,,,,,,,,,40.00,20,72.40740741,2,0
Great Grandpa - Plastic Cough,507,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5.00,5,72.40740741,1,1
Austra - Future Politics,186,synthpop,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.44444444,1,1
Miguel - War & Leisure,274,alternative r&b,,,,,,,,,,,42,,,,,,,,,,,,39,,,,,,,,,,,,,,40.50,20.25,72.44444444,2,0
Angel Olsen - Phases,282,singer-songwriter,,,,,,,,,,,,36,45,,,,,,,,,,,,,,,,,,,,,,,,40.50,20.25,72.44444444,2,0
Girlpool - Powerplant,391,indie pop,,,,,,,,,,,,,,,,36,,,,,45,,,,,,,,,,,,,,,,40.50,20.25,72.44444444,2,0
Rozwell Kid - Precious Art,508,power pop,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,6.00,6,72.44444444,1,1
Oumou Sangare - Mogoya,175,afropop,,,,,,38,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,41.50,20.75,72.51851852,2,0
Broken Social Scene - Hug of Thunder,239,indie rock,,,,,,,,,46,,,,,37,,,,,,,,,,,,,,,,,,,,,,,41.50,20.75,72.51851852,2,0
Faye Webster - Faye Webster,302,folk,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.51851852,1,1
JFDR - Brazil,477,art pop,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,8.00,8,72.51851852,1,1
Strange Ranger - Daymoon,509,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,8.00,8,72.51851852,1,1
Kamaiyah - Before I Wake,539,pop rap,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8.00,8,72.51851852,1,1
Wiley - Godfather,149,grime,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.55555556,1,1
Daniel Caesar - Freudian,249,r&b,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.55555556,1,1
Lone Taxidermist - Trifle,341,electronic,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.55555556,1,1
Hodera - First Things First,510,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9.00,9,72.55555556,1,1
Sam Smith - The Thrill of It All,57,pop soul,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.59259259,1,1
Mega Bog - Happy Together,303,art pop,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.59259259,1,1
Oxbow - Thin Black Duke,342,experimental rock,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.59259259,1,1
Aaron Dilloway - The Gag File,444,noise,,,,,,,,,,,,,,,,,,,39,,,,,,,,46,,,,,,,,,,42.50,21.25,72.59259259,2,0
TQD - UKG,540,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10.00,10,72.59259259,1,1
Childhood - Universal High,11,neo-psychedelia,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.62962963,1,0
Soulwax - FROM DEEWEE,189,electropop,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.62962963,1,0
Toro y Moi - Boo Boo,304,synth funk,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.62962963,1,0
Liars - TFCF,343,experimental rock,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.62962963,1,0
Citizen - As You Please,511,post-hardcore,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11.00,11,72.62962963,1,0
Lotto - VV,344,post-rock,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.66666667,1,0
Rostam - Half-Light,408,art pop,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,12.00,12,72.66666667,1,0
"Shinichi Atobe - From The Heart, It's a Start, A Work of Art",410,dub techno,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12.00,12,72.66666667,1,0
Nadah El Shazly - Ahwar,425,folk,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,12.00,12,72.66666667,1,0
Remo Drive - Greatest Hits,512,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,12.00,12,72.66666667,1,0
Holly Macve - Golden Eagle,13,country,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.7037037,1,0
Nite Jewel - Real High,305,synthpop,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.7037037,1,0
The Spirit of the Beehive - Pleasure Suck,513,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13.00,13,72.7037037,1,0
Sudan Archives - Sudan Archives,541,folktronica,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13.00,13,72.7037037,1,0
White Reaper - The World's Best American Band,125,glam rock,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.74074074,1,0
Molly Burch - Please Be Mine,141,singer-songwriter,,,,42,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,44.50,22.25,72.74074074,2,0
Jean-Michel Blais & CFCF - Cascades,190,electronic,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.74074074,1,0
Yumi Zouma - Willowbank,306,indie pop,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.74074074,1,0
Dawn Ray'd - The Unlawful Assembly,328,metal,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.74074074,1,0
Snapped Ankles - Come Play The Trees,346,dance punk,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.74074074,1,0
Vagabon - Infinite Worlds,418,indie rock,,,,,,,,,,,,,,,,,47,,,,42,,,,,,,,,,,,,,,,44.50,22.25,72.74074074,2,0
Meat Wave - The Incessant,514,garage punk,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,14.00,14,72.74074074,1,0
King Gizzard and the Lizard Wizard - Sketches of Brunswick East,126,neo-psychedelia,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.77777778,1,0
Weaves - Wide Open,145,indie rock,,,,46,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,45.00,22.5,72.77777778,2,0
Yazz Ahmed - La Saboteuse,420,jazz,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,15.00,15,72.77777778,1,0
Bill Orcutt - Bill Orcutt,427,experimental,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,15.00,15,72.77777778,1,0
Iglooghost - Neo Wax Bloom,451,wonky,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,15.00,15,72.77777778,1,0
Danish String Quartet - Last Leaf,459,classical,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,15.00,15,72.77777778,1,0
V/A - Sounds of Sisso,484,afrobeat,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,15.00,15,72.77777778,1,0
Daniele Luppi & Parquet Courts - MILANO,16,indie rock,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.81481481,1,0
A Boogie Wit Da Hoodie - The Bigger Artist,254,trap rap,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.81481481,1,0
Laura Cannell - Hunter Huntress Hawker,347,free improvisation,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.81481481,1,0
Gang of Youths - Go Farther in Lightness,390,indie rock,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,16.00,16,72.81481481,1,0
Irreversible Entanglements - Irreversible Entanglements,428,jazz,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,16.00,16,72.81481481,1,0
Destroyer - Ken,471,indie rock,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,16.00,16,72.81481481,1,0
DJ Escrow - Universal Soulja Vol. 1,485,experimental,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,16.00,16,72.81481481,1,0
Ellen Arkbro - For Organ and Brass,429,modern classical,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,17.00,17,72.85185185,1,0
"Slaughter Beach, Dog - Birdie",515,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,17.00,17,72.85185185,1,0
Michael Head & The Red Elastic Band - Adios,116,singer-songwriter,,,44,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.50,23.25,72.88888889,2,0
Demen - Nektyr,308,ambient pop,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,72.88888889,1,0
IFE - IIII+IIII,460,electronic,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,18.00,18,72.88888889,1,0
Mammut - Kinder Versions,478,indie rock,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,18.00,18,72.88888889,1,0
Sharon Jones & the Dap-Kings - Soul of a Woman,87,soul,,46,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,23.5,72.92592593,2,0
Dizzee Rascal - Raskit,98,grime,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.92592593,1,0
The Clientele - Music for the Age of Miracles,228,indie pop,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.92592593,1,0
Calvin Harris - Funk Wav Bounces Vol. 1,256,dance pop,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.92592593,1,0
Men I Trust - Tailwhip EP,309,indie pop,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.92592593,1,0
Awa Poulo - Poulo Warali,374,afrobeat,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19.00,19,72.92592593,1,0
Diamanda Galas - All The Way,430,vocal jazz,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,19.00,19,72.92592593,1,0
Chief Keef - Thot Breaker,486,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,19.00,19,72.92592593,1,0
A Will Away - Here Again,516,pop punk,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,19.00,19,72.92592593,1,0
Bicep - Bicep,243,deep house,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,72.96296296,1,0
Rick Ross - Rather You Than Me,257,hip hop,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,72.96296296,1,0
Hater - You Tried,310,indie rock,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,72.96296296,1,0
Bully - Losing,517,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20.00,20,72.96296296,1,0
Pond - The Weather,49,synthpop,49,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,24,73,2,0
Hannah Peel - Mary Casio: Journey to Cassiopeia,192,indie pop,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73,1,0
Hoops - Routines,311,jangle pop,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73,1,0
Man Forever - Play What They Want,351,post-rock,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,21.00,21,73,1,0
Children of Alice - Children of Alice,432,electronic,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21.00,21,73,1,0
Soccer Mommy - Collection,479,indie pop,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,21.00,21,73,1,0
Blis. - No One Loves You,518,emo,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,21.00,21,73,1,0
Kodak Black - Painting Pictures,258,hip hop,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.03703704,1,0
Kedr Livanskiy - Ariadna,312,hypnagogic pop,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.03703704,1,0
King Woman - Created in the Image of Suffering,331,sludge metal,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.03703704,1,0
Madonnatron - Madonnatron,352,alternative rock,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.03703704,1,0
Strange U - #LP4080,433,hip hop,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22.00,22,73.03703704,1,0
Differ-Ent - It's Good To Be Differ-Ent,542,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,22.00,22,73.03703704,1,0
Chuck Johnson - Balsams,229,ambient,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.07407407,1,0
Freddie Gibbs - You Only Live 2wice,259,hip hop,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.07407407,1,0
Julia Lucille - Chthonic,313,folk,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.07407407,1,0
Endon - Through The Mirror,353,avant-garde metal,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.07407407,1,0
Phew - Voice Hardcore,434,experimental,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,23.00,23,73.07407407,1,0
V/A - Twin Peaks (Music from the Limited Event Series),488,lynchcore,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,23.00,23,73.07407407,1,0
Angelo Badalamenti - Twin Peaks,489,classical,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,23.00,23,73.07407407,1,0
King Gizzard and the Lizard Wizard - Murder of the Universe,24,psychedelic rock,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Eyre Llew - Atelo,193,post-rock,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Hans Zimmer - Dunkirk OST,215,classical,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Gucci Mane - Droptopwop,260,hip hop,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Carly Pearce - Every Little Thing,377,country,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Elder - Reflections of a Floating World,388,stoner rock,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Tzusing - 東方不敗,417,techno,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24.00,24,73.11111111,1,0
Greet Death - Dixieland,519,shoegaze,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,24.00,24,73.11111111,1,0
Justin Walter - Unseen Forces,354,ambient,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.14814815,1,0
Hello Skinny - Watermelon Sun,395,electronic,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,25.00,25,73.14814815,1,0
Aine O'Dwyer - Gallarais,435,experimental,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,25.00,25,73.14814815,1,0
La Santa Cecilia - Amar y Vivir,461,folk,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,25.00,25,73.14814815,1,0
Cool American - Infinite Hiatus,520,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,25.00,25,73.14814815,1,0
Flat Worms - Flat Worms,26,garage punk,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.18518519,1,0
Bleachers - Gone Now,153,pop rock,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.18518519,1,0
Tony Allen - The Source,170,afrobeat,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.18518519,1,0
Anna of the North - Lovers,314,synthpop,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.18518519,1,0
BNNT - MULTIVERSE,355,noise rock,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.18518519,1,0
"Lee Ann Womack - The Lonely, The Lonesome & The Gone",462,country,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,26.00,26,73.18518519,1,0
V/A - Club Chai Vol. 1,490,electronic,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,26.00,26,73.18518519,1,0
Ratboys - GN,521,indie pop,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,26.00,26,73.18518519,1,0
Myrkur - Mareridt,27,black metal,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.22222222,1,0
She-Devils - She-Devils,315,indie pop,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.22222222,1,0
Shit & Shine - Total Shit!,356,electronic,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.22222222,1,0
Alison Crutchfield - Tourist In This Town,373,indie pop,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,27.00,27,73.22222222,1,0
Msafiri Zawose - Uhamiaji,406,electronic,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,27.00,27,73.22222222,1,0
SAICOBAB - Sab Se Purani Bab,436,experimental,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,27.00,27,73.22222222,1,0
Wild Pink - Wild Pink,522,indie rock,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,27.00,27,73.22222222,1,0
"Nidia Minaj - Nidia e Ma, Nidia e Fudida",543,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,27.00,27,73.22222222,1,0
The Kickback - Weddings and Funerals,216,indie rock,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.25925926,1,0
Katie Ellen - Cowgirl Blues,330,indie rock,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.25925926,1,0
Kuniyuki Takahashi - Newwave Project,400,deep house,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28.00,28,73.25925926,1,0
Ibeyi - Ash,458,art pop,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,28.00,28,73.25925926,1,0
