ALBUM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GDINTV,GVSB,GUARD,HOTPRS,KERNG,LINE,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,WEISS,PASTE,PICC,PFORK,POPMT,QTUS,RS,RTRADE,SLANT,SPTNIK,SGUM,STLISTN,TREBLE,UNCUT,UTR,WHYNW,WIRE,XSNZE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Shabazz Palaces - Robed in Rareness,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
The Murlocs - Calm Ya Farm,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Vagabon - Sorry I Haven't Called,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Alternative TV - Direct Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,49.00,49,74.40909091,1,0,0
Blockhead - The Aux,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Cannibal Corpse - Chaos Horrific,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Deeper - Careful!,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Ezra Williams - Supernumeraries,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Fossilization - Leprous Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,49.00,49,74.40909091,1,0,0
Iggy Pop - EVERY LOSER,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Luzmila Carpio - Inti Watana: el retorno del Sol,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Madeline Kenney - A New Reality Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,49.00,49,74.40909091,1,0,0
Mariah the Scientist - To Be Eaten Alive,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Pierce The Vail - The Jaws of Life,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Polobi & The Gwo Ka Masters - Abri Cyclonique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,49.00,49,74.40909091,1,0,0
Shirley Hurt - Shirley Hurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,49.00,49,74.40909091,1,0,0
Truth Cult - Walk the Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,49.00,49,74.40909091,1,0,0
Ashnikko - WEEDKILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,50.00,50,74.43181818,1,0,0
Bishopskin - Babble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,50.00,50,74.43181818,1,0,0
Blood Ceremony - The Old Ways Remain,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
Craven Faults - Standers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,50.00,50,74.43181818,1,0,0
Dominic Fike - Sunburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
Enola Gay - Casement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
Grove Street - The Path To Righteousness,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
"Harrison - Birds, Bees, The Clouds & The Trees",,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
"James Brandon Lewis / Red Lily Quintet - For Mahalia, With Love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50.00,50,74.43181818,1,0,0
Jana Horn - The Window is the Dream,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
Lil Tecca - TEC,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
Midwife & Vyva Melinkolya - Orbweaving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,50.00,50,74.43181818,1,0,0
Primitive Knot - Undying Lands,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
Sweet Baboo - The Wreckage,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.43181818,1,0,0
