cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
"16","WMFO 91.5 FM","wmfo","improve","Tufts Freeform Radio is a university-connected station from Medford, Massachusetts, giving student programmers a platform for eclectic music and independently shaped shows. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://wmfo.org"
"17","RadioActive","radioactive","improve","RadioActive is a small Greek station presenting a community-scale broadcast service, but its public materials provide limited detail about ownership, schedule, or musical policy. The available public material provides only a limited view of its current programming and editorial identity.","low","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","https://radioactivefm.gr/"
"18","KCRW — Eclectic 24","kcrw-eclectic24","keep_reviewed","Eclectic24 is KCRW’s online music channel, linking the Santa Monica public-radio station’s discovery-focused music output to a continuous web stream.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.kcrw.com/music/shows/eclectic24; https://www.kcrw.com/about"
"19","BBC 6 Music","bbc-6music","keep_reviewed","BBC 6 Music is a UK-wide BBC music network with a presenter-led mix of new releases, overlooked catalogue tracks, sessions, and specialist programmes available through BBC Sounds.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.bbc.co.uk/6music; https://www.bbc.co.uk/sounds/schedules/bbc_6music"
"20","Radio SAR - Studencka Agencja Radiowa","radio-sar-studencka-agencja-radiowa","improve","Poland’s Radio SAR is the student station of the Silesian University of Technology, pairing a long-running campus identity with online music broadcasting. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://radiosar.pl/"
"21","Nostalgie New York","nostalgie-new-york","improve","Nostalgie New York is listed as a New York-facing online stream, but the supplied site currently exposes unrelated promotional material rather than verifiable station ownership or programming.","low","low","","The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.","https://nstlgy.com/"
"22","FIP Groove","fip-groove","keep_reviewed","FIP Groove is Radio France's stream for soul, funk, R&B and trip-hop, using a rhythm-centered selection that connects classic voices with later recordings.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.radiofrance.fr/fip/radio-groove"
"23","WTBU 89.3 FM","wtbu","improve","Boston University’s WTBU is a student-run radio service whose current public listing confirms the campus connection, while detailed musical scope is not readily documented in the supplied source.","medium","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","https://spinitron.com/WTBU/"
"24","WPRB 103.3 FM","wprb","keep_reviewed","WPRB is Princeton's community-supported, nonprofit freeform station, pairing student and community DJs with human-curated broadcasts and a global webstream.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://wprb.com/about/; https://www.wprbhistory.org/"
"25","WLUW 88.7 FM","wluw","improve","Loyola University Chicago’s WLUW is a non-commercial campus station with a published playlist service, but the supplied source offers too little station-level context to characterize its editorial focus confidently.","medium","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","https://spinitron.com/WLUW/"
"26","WHRB 95.3 FM","whrb","keep_reviewed","Harvard’s volunteer undergraduate radio corporation has served Boston for more than eight decades with classical, jazz, underground rock, news, sports, and weekend specialty programs.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.whrb.org/about/; https://www.whrb.org/programming/program-schedule/"
"27","CJSR 88.5 FM","cjsr","improve","Edmonton’s listener-supported, volunteer-powered CJSR is a community station associated with the University of Alberta, offering a locally rooted alternative to commercial radio. The available public material provides only a limited view of its current programming and editorial identity.","high","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://www.cjsr.com/"
"28","Traxx FM - Cool Jam","traxx-fm-cool-jam","improve","Traxx FM Cool Jam is a commercial-free online channel built around smooth jazz, nu-jazz, lounge, and relaxed listening, with little evidence of a distinct presenter-led identity.","low","medium","","Generic or narrowly automated stream with limited editorial distinctiveness.","http://www.traxx.fm/"
"29","Radio Paradise World/ETC Mix 192k MP3","radio-paradise-world-etc-mix-192k-mp3","improve","Radio Paradise’s World/ETC stream is part of a listener-supported internet service known for human-curated eclectic mixes, here focused on global and exploratory selections. The available public material provides only a limited view of its current programming and editorial identity.","high","high","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://radioparadise.com/"
"30","KUTX 98.9 FM","kutx","improve","KUTX is a full-time non-commercial music station broadcasting on 98.9 FM in Austin, Texas, and streamed worldwide at kutx.org. The available public material provides only a limited view of its current programming and editorial identity.","low","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","https://kutx.org/"
"31","dinamo.fm sleep","dinamo-fm-sleep","improve","Dinamo FM Sleep is a Turkish online sleep stream associated with Dinamo’s electronic and indie radio project, but public information is too sparse to establish its programming model.","low","low","","The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.","http://www.dinamo.fm/"
"32","SomaFM Black Rock FM (128k AAC Non-SSL)","somafm-black-rock-fm-128k-aac-non-ssl","improve","SomaFM’s Black Rock FM is an internet channel inspired by Nevada’s Black Rock Desert, translating that event and community association into a continuous electronic music stream.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","http://somafm.com/brfm/"
"33","DKFM Classic","dkfm-classic","improve","DKFM Classic is a Decay FM stream dedicated to shoegaze, offering a focused archive-oriented genre channel rather than a broad presenter-led station. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://decayfm.com/dkfm-classic-2/"
"34","Synthradio","synthradio","improve","Synthradio is a Russian-language online stream centered on synthpop, alternative, EBM, and futurepop, with continuous electronic programming and limited public information about its editorial operation.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","http://synth-radio.ru/"
"35","Radio Caprice - Post-rock","radio-caprice-post-rock","improve","Radio Caprice’s Post-rock channel is a Russian automated genre stream devoted to post-rock, with public materials offering little evidence of hosts, community, or broader editorial programming.","low","low","","Generic or narrowly automated stream with limited editorial distinctiveness.","http://radcap.ru/postrock.html"
"36","ISEKOI Radio | Non-Stop Ambient","isekoi-radio-non-stop-ambient","improve","ISEKOI Radio is a French online ambient stream built around continuous atmospheric listening and a cosmic-space presentation, with limited evidence of human programming beyond the channel concept.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://isekoi-radio.com/"
"37","Systrum Sistum - SSR1","systrum-sistum-ssr1","improve","Systrum Sistum SSR1 is an Australian online ambient and electronic stream offering continuous atmospheric programming, though its public source gives little detail about presenters or community.","medium","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","https://www.systrum.net/"
"38","SomaFM — Lush","somafm-lush","improve","SomaFM’s Lush is a listener-supported internet channel focused on sensuous, mellow female vocals with electronic influence, a tightly defined mood stream within the SomaFM network.","medium","high","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://somafm.com/lush/"
"39","FIP World","fip-world","keep_reviewed","FIP Monde is Radio France's world-music stream, bringing together an eclectic selection that travels across languages, regions and traditions.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.radiofrance.fr/fip/radio-monde"
"40","KPISS","rb-56241b49-2f23-4266-bdad-f4ad9a41ee24","improve","No scraped station description is currently available. The available public material provides only a limited view of its current programming and editorial identity.","low","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.",""
"41","PANORAMA80","panorama80","improve","Panorama80 is a German online stream tagged across 1980s synthpop, new wave, EBM, electro, and related styles, but the supplied source offers no clear evidence of human editorial programming.","low","low","","The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.","http://www.facebook.com/panorama80"
