cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
140,Le Grigri,le-grigri,improve,"Le Grigri is a French music publication and radio project presenting live tracks, artist selections, and carte-blanche programming. Its homepage shows active editorial features and cultural coverage, but the available extract does not clearly state its city, ownership, or regular broadcast structure.",medium,medium,insufficient_info,"The official site contains evidence of editorial activity but is difficult to evaluate from the accessible homepage extract.",https://www.le-grigri.com/
141,LYL Radio,lyl-radio,improve,"LYL Radio is a French online station whose public-facing identity is centered on human-led music programming and a broad independent scene. The accessible homepage supplies too little detail about its base, ownership, schedule, or specific musical communities to support a more precise summary.",medium,low,insufficient_info,"The homepage resolves to a minimal presentation with no enough accessible institutional or programming detail.",https://lyl.live/
142,MDR Sputnik Insomnia,mdr-sputnik-insomnia,improve,"MDR Sputnik Insomnia is a German broadcaster’s late-night music concept built around melancholic, psychedelic, and slow selections. The mood is distinctive, but the available page does not explain the show’s current schedule, presenters, or editorial relationship to MDR Sputnik in enough detail.",medium,medium,insufficient_info,"A broadcaster page and scraped descriptors identify the concept, but evidence for current editorial structure is sparse.",http://sputnik.de/sendungen/musikspecials/sputnik-insomnia--100.html
143,Melodies Web Radio,melodies-web-radio,improve,"Melodies Web Radio is a Greek online channel associated with ambient, relaxation music, and jazz. Its mood-based remit is clear from the available listing, but the public material does not establish its programmers, location beyond country, ownership, or a distinctive editorial approach.",low,low,low_interest_and_insufficient_info,"The accessible source is a basic site with scraped genre information and little evidence of human curation.",https://melodieswebradio.wixsite.com/
144,Memory Lane | NTS,memory-lane-nts,improve,"Memory Lane is an NTS Infinite Mixtape built as a continuous online selection rather than a separately documented station. Its archival, mood-driven concept fits NTS’s curated listening tools, but the page offers little information about a permanent host, schedule, or independent identity.",medium,medium,insufficient_info,"The official page establishes an NTS mixtape but not enough detail to evaluate it as a standalone station.",https://www.nts.live/infinite-mixtapes/memory-lane
145,Modular-Station,modular-station,improve,"Modular Station is a French online radio project organized around modular music and electronic listening. The title establishes a specialist focus, but the accessible public description does not sufficiently document its programmers, location, schedule, ownership, or relationship to a wider music community.",medium,low,insufficient_info,"The official homepage is sparse, leaving the station’s editorial model difficult to evaluate.",https://modular-station.com/
146,NEOFOLK,neofolk,improve,"NEOFOLK is a Germany-linked channel focused on neofolk and adjacent darkfolk, experimental, industrial, pagan, and post-punk music. The specialist territory is clear, but the available page does not identify a programming team, schedule, ownership, or community context beyond the genre catalog.",low,low,low_interest_and_insufficient_info,"The source exposes genre tags but little evidence of an independent editorial organization.",https://flatlinesradio.de/
147,Netil Radio,netil-radio,improve,"Netil Radio is a London online station built around residents, shows, and DJs, with programming framed through personal stories and lives spent in music. That community-led premise is distinctive, although the available source supplies limited detail about its current schedule and ownership.",high,medium,,The official description clearly establishes a human and place-based programming model, even though the accessible evidence is brief.",http://netilradio.com/
148,Nightride FM - Datawave,nightride-fm-datawave,improve,"Nightride FM’s Datawave channel is an online synthwave and cyberpunk stream spanning retrowave, darksynth, EBM, drum and bass, techno, and related electronic styles. Its scene focus is clear, but the public description does not establish presenters, ownership, or a broader editorial program.",low,medium,low_interest,"The official page supports a focused genre stream but provides little evidence of human or community programming.",https://nightride.fm/
149,OFFradio (320),offradio-320,improve,"OFFradio is a Greek online station that has presented music streaming from 2008. Its public description emphasizes a popular continuous service, but does not provide enough accessible information about presenters, ownership, location, schedule, or musical selection to characterize a stronger editorial identity.",low,low,low_interest_and_insufficient_info,"The homepage offers a longevity and popularity claim but little verifiable programming detail.",http://offradio.gr/
150,p-node,p-node,improve,"p-node is a French hybrid radio and streaming platform whose identity sits between broadcast, networked media, and experimental online infrastructure. The available homepage establishes that hybrid model, but gives too little accessible information about its programmers, geography, or musical focus.",medium,low,insufficient_info,"The official site identifies an unusual platform model but does not expose enough detail for a confident music description.",https://p-node.org/
151,Planet Ambi HD,planet-ambi-hd,improve,"Planet Ambi HD is a Switzerland-linked 24-hour ambient stream designed for relaxation and sleep, emphasizing beatless soundscapes. Its use case and musical focus are explicit, but there is no accessible evidence of presenters, a community, or a distinctive editorial selection process.",low,medium,low_interest,"This is a clearly labeled functional ambient stream, but not an evidently differentiated human-curated station.",https://planetambi.com/
152,Play Emotions,play-emotions,improve,"Play Emotions is an Italian-linked online channel associated with ambient, chillout, and relaxing music. The mood-based format is apparent from the available metadata, but the public record does not identify its organization, location, presenters, schedule, or musical point of view.",low,low,low_interest_and_insufficient_info,"Only scraped tags and no reliable editorial or institutional context are available.", 
153,psyradio * fm - progressive,psyradio-fm-progressive,improve,"PSYRadio’s Progressive channel is an online stream for psychedelic electronic music, operating within a four-channel network that also includes psytrance, chillout, and alternative feeds. Its multi-channel structure is useful context, though the available page does not identify individual programmers or a community base.",medium,medium,,"The official network page documents the channel family and programming categories, but not a deeper organization or presenter model.",http://psyradio.fm/
154,PsyRadio Chillout,psyradio-chillout,improve,"PsyRadio Chillout is the chillout stream in PSYRadio’s four-channel online network, alongside progressive, psytrance, and alternative services. It offers a clear psychedelic-electronic listening lane, but the available official description does not establish presenters, ownership, or a distinctive editorial community.",low,medium,low_interest,"The channel is a narrowly defined companion stream with limited evidence of human programming.",http://psyradio.fm/
155,PsyStream,psystream,improve,"PsyStream is a UK-linked online channel focused on progressive, psychedelic, psytrance, and trance music. Its genre territory is identifiable, but the available public source does not document presenters, ownership, schedule, or a curatorial approach beyond the format labels.",low,low,low_interest_and_insufficient_info,"The accessible evidence is a genre listing rather than a documented editorial station.",http://psymusic.co.uk/
156,RADCAP: AMBIENT DUB,radcap-ambient-dub,improve,"RADCAP’s Ambient Dub channel is a Russian genre stream dedicated to ambient dub. It belongs to the Radio Caprice network of narrowly labeled channels, but the available page offers no evidence of presenters, community participation, or a selection process beyond continuous genre programming.",low,medium,low_interest,"The network and channel remit are identifiable, but the service is editorially undifferentiated from an automated specialist feed.",http://radcap.ru/ambientdub.html
157,RADCAP: ATMOSPHERIC / AMBIENT BLACK METAL,radcap-atmospheric-ambient-black-metal,improve,"RADCAP’s Atmospheric/Ambient Black Metal channel is a Russian Radio Caprice stream focused on atmospheric and ambient black metal. Its specialist genre is precise, but the available page does not document human hosts, schedule, ownership beyond the network, or a wider scene role.",low,medium,low_interest,"A narrowly labeled network stream with no accessible evidence of a distinct programming organization.",http://radcap.ru/aabmds.html
158,RADCAP: DRONE AMBIENT,radcap-drone-ambient,improve,"RADCAP’s Drone Ambient channel is a Russian Radio Caprice stream devoted to drone and ambient music. The format is unambiguous, but the available channel page does not identify presenters, community, schedule, or curatorial practices beyond continuous genre delivery.",low,medium,low_interest,"The stream is a narrow network genre channel and appears commercially and editorially undifferentiated.",http://radcap.ru/droneambient.html
159,RADCAP: INDUSTRIAL / DARK / RITUAL AMBIENT,radcap-industrial-dark-ritual-ambient,improve,"RADCAP’s Industrial/Dark/Ritual Ambient channel is a Russian Radio Caprice stream for dark ambient and industrial-adjacent sound. Its thematic territory is specific, but the accessible page provides no evidence of hosts, community, or a distinct editorial process beyond the genre label.",low,medium,low_interest,"The network channel has a clear mood but little evidence of human-led programming.",http://radcap.ru/darkambient.html
160,Radio Caprice - Avant-Garde Jazz / Free Improvisation [2],radio-caprice-avant-garde-jazz-free-improvisation-2,improve,"Radio Caprice’s Avant-Garde Jazz/Free Improvisation channel is a Russian network stream for experimental jazz. The specialist remit may interest listeners seeking a narrow catalog, but the available source does not identify hosts, schedule, community, or curation beyond continuous genre programming.",low,medium,low_interest,"A precise but apparently automated network channel with no documented editorial organization.",http://radcap.ru/avantgardejazz.html
161,Radio Caprice - Experimental Techno [2],radio-caprice-experimental-techno-2,improve,"Radio Caprice’s Experimental Techno channel is a Russian network stream focused on experimental electronic music. Its genre target is clear, but the public channel page does not document presenters, schedule, ownership beyond Radio Caprice, or a distinctive human editorial model.",low,medium,low_interest,"The channel is a narrow specialist feed with no accessible evidence of human-led programming.",http://radcap.ru/exptechno.html
162,Radio Caprice - Folk Death Metal,radio-caprice-folk-death-metal,improve,"Radio Caprice’s Folk Death Metal channel is a Russian network stream dedicated to the intersection of folk and death metal. The unusual genre pairing gives it some discovery value, but the available page does not show presenters, schedule, community, or curation beyond continuous network delivery.",medium,medium,low_interest,"The niche is distinctive, but the channel remains an undocumented genre feed rather than an evident editorial station.",http://radcap.ru/folkdeathmetal.html
163,Radio Caprice - Psychedelic Folk,radio-caprice-psychedelic-folk,improve,"Radio Caprice’s Psychedelic Folk channel is a Russian network stream focused on psychedelic folk. Its narrow musical premise is legible, but the accessible page does not identify hosts, schedule, organization beyond Radio Caprice, or a human selection process.",low,medium,low_interest,"The channel has a precise genre label but no documented editorial structure.",http://radcap.ru/psychfolk.html
164,Radio Caprice: Ambient,radio-caprice-ambient,improve,"Radio Caprice’s Ambient channel is a Russian network stream devoted to ambient music. It is easy to understand as a focused listening utility, but the available page does not establish presenters, community, schedule, or a distinct editorial identity beyond continuous genre programming.",low,medium,low_interest,"A narrow network stream with insufficient evidence of human-led programming or differentiation.",http://radcap.ru/ambient.html
