model_rank,current_rank,move,name,slug,blend,current,underground_raw,new_raw,critical_raw,new_examples,critical_examples
71,109,38,WDCE 90.1 FM,wdce,0.3732,0.0,0,0,0,,
72,68,-4,WCFM 91.9 FM,wcfm,0.3672,0.0,0,0,0,,
73,61,-12,Radio Mela,radio-mela,0.36455849917117156,0.13823399668468628,2.5416019934645457,0,0,,
74,74,0,WCBN 88.3 FM,wcbn,0.3612,0.0,0,0,0,,
75,106,31,WBRS 100.1 FM,wbrs,0.35519999999999996,0.0,0,0,0,,
76,27,-49,All Oldies Channel,all-oldies-channel,0.3550697938351861,0.40587917534074447,6.799561244857727,0,0,,
77,46,-31,Ambiento,ambiento,0.3490113038197885,0.15604521527915383,2.8982769374032777,0,0.03214494732687607,,#111 2023 Depeche Mode – Memento Mori
78,125,47,Tukker FM,tukker-fm,0.3472,0.0,0,0,0,,
79,57,-22,Path through the Forest,path-through-the-forest,0.34292088558776035,0.14288354235104161,2.5416019934645457,0,0,,
80,116,36,Systrum Sistum - SSR2,systrum-sistum-ssr2,0.3376,0.0,0,0,0,,
81,117,36,SWISS GROOVE,swiss-groove,0.3296,0.0,0,0,0,,
82,59,-23,Lolli Radio Happy Station,lolli-radio-happy-station,0.32444728694478125,0.13938914777912492,2.359280436670591,0,0,,
83,88,5,SomaFM — Sonic Universe,somafm-sonicuniverse,0.3236,0.0,0,0,0,,
84,89,5,SomaFM Sonic Universe (128k MP3),somafm-sonic-universe-128k-mp3,0.3176,0.0,0,0,0,,
85,99,14,SomaFM Sonic Universe (128k AAC),somafm-sonic-universe-128k-aac,0.3116,0.0,0,0,0,,
86,54,-32,FIP Jazz,fip-jazz,0.3096905326610702,0.14756213064428092,4.151039905898646,0,0,,
87,121,34,SomaFM SF 10-33 (128k MP3),somafm-sf-10-33-128k-mp3,0.3056,0.0,0,0,0,,
88,35,-53,dinamo.fm sleep,dinamo-fm-sleep,0.29940129800418447,0.2024051920167378,4.151039905898646,0,0,,
89,66,-23,SomaFM DEF CON Radio (128k AAC),somafm-def-con-radio-128k-aac,0.29760000000000003,0.0,0,0,0,,
90,97,7,SomaFM CliqHop IDM (256k MP3),somafm-cliqhop-idm-256k-mp3,0.2916,0.0,0,0,0,,
91,37,-54,DKFM Classic,dkfm-classic,0.28862774730509905,0.1785109892203961,3.7455747977904816,0,0,,
92,103,11,SomaFM Boot Liquor (320k MP3),somafm-boot-liquor-320k-mp3,0.28559999999999997,0.0,0,0,0,,
93,104,11,SomaFM Boot Liquor (128k AAC),somafm-boot-liquor-128k-aac,0.27959999999999996,0.0,0,0,0,,
94,102,8,SLOBODNÝ VYSIELAČ,slobodn-vysiela,0.2716,0.0,0,0,0,,
95,58,-37,Heavy Music Atmospheric Radio,heavy-music-atmospheric-radio,0.26790740242318917,0.1420296096927567,2.5416019934645457,0,0,,
96,105,9,Rovinj FM,rovinj-fm,0.2656,0.0,0,0,0,,
97,122,25,Radio Paradise World/etc FLAC+meta,radio-paradise-world-etc-flac-meta,0.24719999999999998,0.0,0,0,0,,
98,95,-3,Radio Caprice - Krautrock,radio-caprice-krautrock,0.23360000000000003,0.0,0,0,0,,
99,93,-6,Radio Armisa,radio-armisa,0.2276,0.0,0,0,0,,
100,94,-6,Pro-Radio,pro-radio,0.2216,0.0,0,0,0,,
101,115,14,Omroep Zeeland Radio,omroep-zeeland-radio,0.20800000000000002,0.0,0,0,0,,
102,90,-12,Le Bon Mix HiFi Flac 1411 Kbps,le-bon-mix-hifi-flac-1411-kbps,0.1928,0.0,0,0,0,,
103,78,-25,KZSC 88.1 FM,kzsc,0.18319999999999997,0.0,0,0,0,,
104,77,-27,KUCR 88.3 FM,kucr,0.1736,0.0,0,0,0,,
105,81,-24,KTUH 90.3 FM,ktuh,0.1676,0.0,0,0,0,,
106,80,-26,KSJS 90.5 FM,ksjs,0.16160000000000002,0.0,0,0,0,,
107,76,-31,KFAI 90.3 FM,kfai,0.15560000000000002,0.0,0,0,0,,
108,79,-29,KDVS 90.3 FM,kdvs,0.14959999999999998,0.0,0,0,0,,
109,111,2,KDUR 91.9 FM,kdur,0.1436,0.0,0,0,0,,
110,113,3,KCSM 91.1 FM,kcsm,0.1376,0.0,0,0,0,,
111,112,1,KAOS 89.3 FM,kaos,0.1316,0.0,0,0,0,,
112,83,-29,Jazzloft,jazzloft,0.1256,0.0,0,0,0,,
113,118,5,JAMM FM,jamm-fm,0.1196,0.0,0,0,0,,
114,91,-23,Grolloo Radio,grolloo-radio,0.10640000000000001,0.0,0,0,0,,
115,65,-50,Fluid Radio,fluid-radio,0.1004,0.0,0,0,0,,
116,87,-29,FIP Reggae,fip-reggae,0.0928,0.0,0,0,0,,
117,123,6,Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,0.076,0.0,0,0,0,,
118,119,1,East Tennessee's Own WDVX 89.9 FM,east-tennessee-s-own-wdvx-89-9-fm,0.06999999999999999,0.0,0,0,0,,
119,126,7,dinamo.fm smog,dinamo-fm-smog,0.060399999999999995,0.0,0,0,0,,
120,86,-34,CKUA Radio,ckua,0.0508,0.0,0,0,0,,
121,100,-21,C Lab,c-lab,0.0392,0.0,0,0,0,,
122,114,-8,ByteFM,bytefm-192k,0.0332,0.0,0,0,0,,
123,96,-27,Art Of Music,art-of-music,0.0252,0.0,0,0,0,,
124,120,-4,aNONradio,anonradio,0.0192,0.0,0,0,0,,
125,101,-24,"..87,5!. Nantes",87-5-nantes,0.007599999999999999,0.0,0,0,0,,
126,124,-2,6forty Radio,6forty-radio,0.0016,0.0,0,0,0,,
